depcity,arrcity,fare,deplocation,arrlocation,deptime,arrtime,duration,depdate,scrapedate
"Washington, DC","Baltimore, MD",$6.00 ,Union Station.,White Marsh Mall (Opp Red Lobster),5:55 AM,7:15 AM,1hrs 20mins,5/28/2014,5/14/2014
"Washington, DC","Baltimore, MD",$20.00 ,Union Station.,White Marsh Mall (Opp Red Lobster),8:50 AM,10:10 AM,1hrs 20mins,5/28/2014,5/14/2014
"Washington, DC","Baltimore, MD",$15.00 ,Union Station.,White Marsh Mall (Opp Red Lobster),11:15 AM,12:35 PM,1hrs 20mins,5/28/2014,5/14/2014
"Washington, DC","Baltimore, MD",$15.00 ,Union Station.,White Marsh Mall (Opp Red Lobster),4:15 PM,5:35 PM,1hrs 20mins,5/28/2014,5/14/2014
"Washington, DC","Baltimore, MD",$20.00 ,Union Station.,White Marsh Mall (Opp Red Lobster),6:45 PM,8:10 PM,1hrs 25mins,5/28/2014,5/14/2014
"Washington, DC","Baltimore, MD",$6.00 ,Union Station.,White Marsh Mall (Opp Red Lobster),7:25 PM,8:45 PM,1hrs 20mins,5/28/2014,5/14/2014
"Washington, DC","Baltimore, MD",$7.00 ,Union Station.,White Marsh Mall (Opp Red Lobster),8:00 PM,9:25 PM,1hrs 25mins,5/28/2014,5/14/2014
"Washington, DC","Baltimore, MD",$4.00 ,Union Station.,White Marsh Mall (Opp Red Lobster),9:45 PM,11:05 PM,1hrs 20mins,5/28/2014,5/14/2014
"Washington, DC","Baltimore, MD",$4.00 ,Union Station.,White Marsh Mall (Opp Red Lobster),10:10 PM,11:20 PM,1hrs 10mins,5/28/2014,5/14/2014
"Washington, DC","Atlanta, GA",$42.00 ,Union Station.,MARTA Civic Center - 435 W Peachtree St NW,9:00 AM,10:00 PM,13hrs 0mins,5/28/2014,5/14/2014
"Washington, DC","Atlanta, GA",$48.00 ,Union Station.,MARTA Civic Center - 435 W Peachtree St NW,9:30 PM,10:30 AM,13hrs 0mins,5/28/2014,5/14/2014
"Washington, DC","Boston, MA",$35.00 ,Union Station.,South Station - Gate 13,8:50 AM,7:35 PM,10hrs 45mins,5/28/2014,5/14/2014
"Washington, DC","Boston, MA",$35.00 ,Union Station.,South Station - Gate 13,6:45 PM,5:15 AM,10hrs 30mins,5/28/2014,5/14/2014
"Washington, DC","Buffalo, NY",$50.00 ,Union Station.,Downtown Terminal,8:00 PM,7:20 AM,11hrs 20mins,5/28/2014,5/14/2014
"Washington, DC","Charlotte, NC",$34.00 ,Union Station.,S Brevard St outside of Charlotte Trans Ctr,7:20 AM,3:10 PM,7hrs 50mins,5/28/2014,5/14/2014
"Washington, DC","Charlotte, NC",$34.00 ,Union Station.,S Brevard St outside of Charlotte Trans Ctr,11:00 PM,6:50 AM,7hrs 50mins,5/28/2014,5/14/2014
"Washington, DC","Christiansburg, VA",$22.00 ,Union Station.,Falling Branch Park & Ride Exit 118A,9:00 AM,1:45 PM,4hrs 45mins,5/28/2014,5/14/2014
"Washington, DC","Christiansburg, VA",$26.00 ,Union Station.,Falling Branch Park & Ride Exit 118A,9:30 PM,2:15 AM,4hrs 45mins,5/28/2014,5/14/2014
"Washington, DC","Durham, NC",$18.00 ,Union Station.,Willard St. outside of Durham Station Transportation Center,7:20 AM,12:10 PM,4hrs 50mins,5/28/2014,5/14/2014
"Washington, DC","Durham, NC",$18.00 ,Union Station.,Willard St. outside of Durham Station Transportation Center,11:10 AM,4:25 PM,5hrs 15mins,5/28/2014,5/14/2014
"Washington, DC","Durham, NC",$18.00 ,Union Station.,Willard St. outside of Durham Station Transportation Center,11:00 PM,3:50 AM,4hrs 50mins,5/28/2014,5/14/2014
"Washington, DC","Hampton, VA",$5.00 ,Union Station.,Hampton Transit Center - 2 W Pembroke Ave,6:45 AM,10:40 AM,3hrs 55mins,5/28/2014,5/14/2014
"Washington, DC","Hampton, VA",$15.00 ,Union Station.,Hampton Transit Center - 2 W Pembroke Ave,11:10 AM,3:00 PM,3hrs 50mins,5/28/2014,5/14/2014
"Washington, DC","Hampton, VA",$13.00 ,Union Station.,Hampton Transit Center - 2 W Pembroke Ave,7:55 PM,11:50 PM,3hrs 55mins,5/28/2014,5/14/2014
"Washington, DC","Knoxville, TN",$22.00 ,Union Station.,Knoxville Transit Center,9:00 AM,6:15 PM,9hrs 15mins,5/28/2014,5/14/2014
"Washington, DC","Knoxville, TN",$26.00 ,Union Station.,Knoxville Transit Center,9:30 PM,6:45 AM,9hrs 15mins,5/28/2014,5/14/2014
"Washington, DC","Morgantown, WV",$10.00 ,Union Station.,Mountaineer Station - 1112 Van Voorhis Rd,7:10 AM,11:40 AM,4hrs 30mins,5/28/2014,5/14/2014
"Washington, DC","Morgantown, WV",$9.00 ,Union Station.,Mountaineer Station - 1112 Van Voorhis Rd,3:10 PM,7:40 PM,4hrs 30mins,5/28/2014,5/14/2014
"Washington, DC","Newark, DE",$15.00 ,Union Station.,U of Delaware - Parking Lot #6 on Christiana Dr,5:55 AM,8:15 AM,2hrs 20mins,5/28/2014,5/14/2014
"Washington, DC","Newark, DE",$10.00 ,Union Station.,U of Delaware - Parking Lot #6 on Christiana Dr,11:15 AM,1:45 PM,2hrs 30mins,5/28/2014,5/14/2014
"Washington, DC","Newark, DE",$14.00 ,Union Station.,U of Delaware - Parking Lot #6 on Christiana Dr,7:25 PM,9:45 PM,2hrs 20mins,5/28/2014,5/14/2014
"Washington, DC","Newark, DE",$10.00 ,Union Station.,U of Delaware - Parking Lot #6 on Christiana Dr,9:45 PM,12:05 AM,2hrs 20mins,5/28/2014,5/14/2014
"Washington, DC","Philadelphia, PA",$14.00 ,Union Station.,30th St Station,5:55 AM,9:30 AM,3hrs 35mins,5/28/2014,5/14/2014
"Washington, DC","Philadelphia, PA",$37.00 ,Union Station.,30th St Station,8:50 AM,12:05 PM,3hrs 15mins,5/28/2014,5/14/2014
"Washington, DC","Philadelphia, PA",$9.00 ,Union Station.,30th St Station,11:15 AM,3:05 PM,3hrs 50mins,5/28/2014,5/14/2014
"Washington, DC","Philadelphia, PA",$9.00 ,Union Station.,30th St Station,4:15 PM,7:40 PM,3hrs 25mins,5/28/2014,5/14/2014
"Washington, DC","Philadelphia, PA",$37.00 ,Union Station.,30th St Station,6:45 PM,10:00 PM,3hrs 15mins,5/28/2014,5/14/2014
"Washington, DC","Philadelphia, PA",$5.00 ,Union Station.,30th St Station,7:25 PM,10:55 PM,3hrs 30mins,5/28/2014,5/14/2014
"Washington, DC","Philadelphia, PA",$40.00 ,Union Station.,30th St Station,8:00 PM,11:20 PM,3hrs 20mins,5/28/2014,5/14/2014
"Washington, DC","Philadelphia, PA",$7.00 ,Union Station.,30th St Station,9:45 PM,1:15 AM,3hrs 30mins,5/28/2014,5/14/2014
"Washington, DC","Philadelphia, PA",$3.00 ,Union Station.,30th St Station,10:10 PM,1:20 AM,3hrs 10mins,5/28/2014,5/14/2014
"Washington, DC","Philadelphia, PA",$9.00 ,Union Station.,30th St Station,11:59 PM,2:50 AM,2hrs 51mins,5/28/2014,5/14/2014
"Washington, DC","Richmond, VA",$5.00 ,Union Station.,The Plaza at Main Street Station,6:45 AM,9:05 AM,2hrs 20mins,5/28/2014,5/14/2014
"Washington, DC","Richmond, VA",$18.00 ,Union Station.,The Plaza at Main Street Station,7:20 AM,9:30 AM,2hrs 10mins,5/28/2014,5/14/2014
"Washington, DC","Richmond, VA",$15.00 ,Union Station.,The Plaza at Main Street Station,11:10 AM,1:30 PM,2hrs 20mins,5/28/2014,5/14/2014
"Washington, DC","Richmond, VA",$18.00 ,Union Station.,The Plaza at Main Street Station,11:10 AM,1:25 PM,2hrs 15mins,5/28/2014,5/14/2014
"Washington, DC","Richmond, VA",$11.00 ,Union Station.,The Plaza at Main Street Station,3:20 PM,6:00 PM,2hrs 40mins,5/28/2014,5/14/2014
"Washington, DC","Richmond, VA",$13.00 ,Union Station.,The Plaza at Main Street Station,7:55 PM,10:15 PM,2hrs 20mins,5/28/2014,5/14/2014
"Washington, DC","Richmond, VA",$18.00 ,Union Station.,The Plaza at Main Street Station,11:00 PM,1:10 AM,2hrs 10mins,5/28/2014,5/14/2014
"Washington, DC","Secaucus, NJ",$37.00 ,Union Station.,Frank. J Lautenberg Station at Secaucus Junction,8:50 AM,1:55 PM,5hrs 5mins,5/28/2014,5/14/2014
"Washington, DC","Secaucus, NJ",$37.00 ,Union Station.,Frank. J Lautenberg Station at Secaucus Junction,6:45 PM,11:50 PM,5hrs 5mins,5/28/2014,5/14/2014
"Washington, DC","Toronto, ON",$50.00 ,Union Station.,Toronto Coach Terminal - 610 Bay Street,8:00 PM,10:05 AM,14hrs 5mins,5/28/2014,5/14/2014
"Albany, NY","New York, NY",$18.00 ,SUNY Albany - Collins Circle,7th Ave & 28th St.,7:10 AM,10:15 AM,3hrs 5mins,5/28/2014,5/14/2014
"Albany, NY","New York, NY",$18.00 ,Rensselaer Station,7th Ave & 28th St.,7:30 AM,10:15 AM,2hrs 45mins,5/28/2014,5/14/2014
"Albany, NY","New York, NY",$10.00 ,SUNY Albany - Collins Circle,7th Ave & 28th St.,10:25 AM,1:30 PM,3hrs 5mins,5/28/2014,5/14/2014
"Albany, NY","New York, NY",$10.00 ,Rensselaer Station,7th Ave & 28th St.,10:45 AM,1:30 PM,2hrs 45mins,5/28/2014,5/14/2014
"Albany, NY","New York, NY",$10.00 ,SUNY Albany - Collins Circle,7th Ave & 28th St.,7:00 PM,10:05 PM,3hrs 5mins,5/28/2014,5/14/2014
"Albany, NY","New York, NY",$10.00 ,Rensselaer Station,7th Ave & 28th St.,7:20 PM,10:05 PM,2hrs 45mins,5/28/2014,5/14/2014
"Albany, NY","New York, NY",$5.00 ,SUNY Albany - Collins Circle,7th Ave & 28th St.,9:50 PM,12:55 AM,3hrs 5mins,5/28/2014,5/14/2014
"Albany, NY","New York, NY",$5.00 ,Rensselaer Station,7th Ave & 28th St.,10:10 PM,12:55 AM,2hrs 45mins,5/28/2014,5/14/2014
"Albany, NY","Ridgewood, NJ",$18.00 ,SUNY Albany - Collins Circle,R17 Park and Ride,7:10 AM,9:50 AM,2hrs 40mins,5/28/2014,5/14/2014
"Albany, NY","Ridgewood, NJ",$18.00 ,Rensselaer Station,R17 Park and Ride,7:30 AM,9:50 AM,2hrs 20mins,5/28/2014,5/14/2014
"Albany, NY","Ridgewood, NJ",$10.00 ,SUNY Albany - Collins Circle,R17 Park and Ride,10:25 AM,1:05 PM,2hrs 40mins,5/28/2014,5/14/2014
"Albany, NY","Ridgewood, NJ",$10.00 ,Rensselaer Station,R17 Park and Ride,10:45 AM,1:05 PM,2hrs 20mins,5/28/2014,5/14/2014
"Albany, NY","Ridgewood, NJ",$10.00 ,SUNY Albany - Collins Circle,R17 Park and Ride,7:00 PM,9:40 PM,2hrs 40mins,5/28/2014,5/14/2014
"Albany, NY","Ridgewood, NJ",$10.00 ,Rensselaer Station,R17 Park and Ride,7:20 PM,9:40 PM,2hrs 20mins,5/28/2014,5/14/2014
"Albany, NY","Ridgewood, NJ",$5.00 ,SUNY Albany - Collins Circle,R17 Park and Ride,9:50 PM,12:30 AM,2hrs 40mins,5/28/2014,5/14/2014
"Albany, NY","Ridgewood, NJ",$5.00 ,Rensselaer Station,R17 Park and Ride,10:10 PM,12:30 AM,2hrs 20mins,5/28/2014,5/14/2014
"Amherst, MA","Burlington, VT",$10.00 ,Hampshire Mall b/t Cinemark and the Arizona Pizza Company,Royal Tyler Theatre - University Place and Main St.,6:30 PM,10:00 PM,3hrs 30mins,5/28/2014,5/14/2014
"Atlanta, GA","Columbus, OH",$34.00 ,MARTA Civic Center - 435 W Peachtree St NW,SE corner of Spring St and 4th St,1:00 PM,1:45 AM,12hrs 45mins,5/28/2014,5/14/2014
"Atlanta, GA","Columbus, OH",$20.00 ,MARTA Civic Center - 435 W Peachtree St NW,SE corner of Spring St and 4th St,11:59 PM,1:45 PM,13hrs 46mins,5/28/2014,5/14/2014
"Atlanta, GA","Durham, NC",$1.00 ,MARTA Civic Center - 435 W Peachtree St NW,Willard St. outside of Durham Station Transportation Center,6:00 AM,4:10 PM,10hrs 10mins,5/28/2014,5/14/2014
"Atlanta, GA","Durham, NC",$1.00 ,MARTA Civic Center - 435 W Peachtree St NW,Willard St. outside of Durham Station Transportation Center,10:30 AM,9:00 PM,10hrs 30mins,5/28/2014,5/14/2014
"Atlanta, GA","Durham, NC",$1.00 ,MARTA Civic Center - 435 W Peachtree St NW,Willard St. outside of Durham Station Transportation Center,9:00 PM,5:30 AM,8hrs 30mins,5/28/2014,5/14/2014
"Atlanta, GA","Erie, PA",$89.00 ,MARTA Civic Center - 435 W Peachtree St NW,PSU Erie - Erie Lot (on College Dr next to tennis courts),1:00 PM,6:45 AM,17hrs 45mins,5/28/2014,5/14/2014
"Atlanta, GA","Erie, PA",$89.00 ,MARTA Civic Center - 435 W Peachtree St NW,PSU Erie - Erie Lot (on College Dr next to tennis courts),11:59 PM,6:45 PM,18hrs 46mins,5/28/2014,5/14/2014
"Atlanta, GA","Fayetteville, NC",$1.00 ,MARTA Civic Center - 435 W Peachtree St NW,Fayetteville Transit Center,6:00 AM,2:35 PM,8hrs 35mins,5/28/2014,5/14/2014
"Atlanta, GA","Fayetteville, NC",$1.00 ,MARTA Civic Center - 435 W Peachtree St NW,Fayetteville Transit Center,10:30 AM,7:30 PM,9hrs 0mins,5/28/2014,5/14/2014
"Atlanta, GA","Fayetteville, NC",$1.00 ,MARTA Civic Center - 435 W Peachtree St NW,Fayetteville Transit Center,9:00 PM,4:00 AM,7hrs 0mins,5/28/2014,5/14/2014
"Atlanta, GA","Gainesville, FL",$17.00 ,MARTA Civic Center - 435 W Peachtree St NW,Hull Rd. Parking Lot across from UF Southwest Rec. Ctr,12:15 PM,6:45 PM,6hrs 30mins,5/28/2014,5/14/2014
"Atlanta, GA","Gainesville, FL",$27.00 ,MARTA Civic Center - 435 W Peachtree St NW,Hull Rd. Parking Lot across from UF Southwest Rec. Ctr,11:59 PM,6:25 AM,6hrs 26mins,5/28/2014,5/14/2014
"Atlanta, GA","Indianapolis, IN",$48.00 ,MARTA Civic Center - 435 W Peachtree St NW,200 E Washington St.,6:00 AM,5:20 PM,11hrs 20mins,5/28/2014,5/14/2014
"Atlanta, GA","Indianapolis, IN",$48.00 ,MARTA Civic Center - 435 W Peachtree St NW,200 E Washington St.,4:10 PM,3:00 AM,10hrs 50mins,5/28/2014,5/14/2014
"Atlanta, GA","Jacksonville, FL",$21.00 ,MARTA Civic Center - 435 W Peachtree St NW,Jacksoville Skyway - Convention Center Stop,7:00 AM,1:00 PM,6hrs 0mins,5/28/2014,5/14/2014
"Atlanta, GA","Jacksonville, FL",$27.00 ,MARTA Civic Center - 435 W Peachtree St NW,Jacksoville Skyway - Convention Center Stop,4:30 PM,10:30 PM,6hrs 0mins,5/28/2014,5/14/2014
"Atlanta, GA","Knoxville, TN",$7.00 ,MARTA Civic Center - 435 W Peachtree St NW,Knoxville Transit Center,6:45 AM,10:10 AM,3hrs 25mins,5/28/2014,5/14/2014
"Atlanta, GA","Knoxville, TN",$7.00 ,MARTA Civic Center - 435 W Peachtree St NW,Knoxville Transit Center,1:00 PM,5:10 PM,4hrs 10mins,5/28/2014,5/14/2014
"Atlanta, GA","Knoxville, TN",$7.00 ,MARTA Civic Center - 435 W Peachtree St NW,Knoxville Transit Center,7:15 PM,10:40 PM,3hrs 25mins,5/28/2014,5/14/2014
"Atlanta, GA","Knoxville, TN",$7.00 ,MARTA Civic Center - 435 W Peachtree St NW,Knoxville Transit Center,11:59 PM,4:10 AM,4hrs 11mins,5/28/2014,5/14/2014
"Atlanta, GA","Lexington, KY",$16.00 ,MARTA Civic Center - 435 W Peachtree St NW,Lextran Transit Ctr - High Street side  185 East High Street,1:00 PM,8:40 PM,7hrs 40mins,5/28/2014,5/14/2014
"Atlanta, GA","Lexington, KY",$14.00 ,MARTA Civic Center - 435 W Peachtree St NW,Lextran Transit Ctr - High Street side  185 East High Street,11:59 PM,7:40 AM,7hrs 41mins,5/28/2014,5/14/2014
"Atlanta, GA","Louisville, KY",$38.00 ,MARTA Civic Center - 435 W Peachtree St NW,SW Corner of W Liberty St and S 5th St,6:00 AM,2:30 PM,8hrs 30mins,5/28/2014,5/14/2014
"Atlanta, GA","Louisville, KY",$38.00 ,MARTA Civic Center - 435 W Peachtree St NW,SW Corner of W Liberty St and S 5th St,4:10 PM,12:30 AM,8hrs 20mins,5/28/2014,5/14/2014
"Atlanta, GA","Memphis, TN",$11.00 ,MARTA Civic Center - 435 W Peachtree St NW,MATA North End Terminal,6:30 AM,1:25 PM,7hrs 55mins,5/28/2014,5/14/2014
"Atlanta, GA","Memphis, TN",$13.00 ,MARTA Civic Center - 435 W Peachtree St NW,MATA North End Terminal,1:30 PM,8:25 PM,7hrs 55mins,5/28/2014,5/14/2014
"Atlanta, GA","Memphis, TN",$10.00 ,MARTA Civic Center - 435 W Peachtree St NW,MATA North End Terminal,11:00 PM,5:30 AM,7hrs 30mins,5/28/2014,5/14/2014
"Atlanta, GA","Mobile, AL",$10.00 ,MARTA Civic Center - 435 W Peachtree St NW,GM&O Transit Center - 110 Beauregard St,6:10 AM,11:30 AM,6hrs 20mins,5/28/2014,5/14/2014
"Atlanta, GA","Mobile, AL",$10.00 ,MARTA Civic Center - 435 W Peachtree St NW,GM&O Transit Center - 110 Beauregard St,1:45 PM,7:05 PM,6hrs 20mins,5/28/2014,5/14/2014
"Atlanta, GA","Mobile, AL",$10.00 ,MARTA Civic Center - 435 W Peachtree St NW,GM&O Transit Center - 110 Beauregard St,11:45 PM,5:05 AM,6hrs 20mins,5/28/2014,5/14/2014
"Atlanta, GA","Montgomery, AL",$9.00 ,MARTA Civic Center - 435 W Peachtree St NW,Parking Lot at SE Corner of Woodmere Blvd and Easter Blvd,6:10 AM,7:55 AM,2hrs 45mins,5/28/2014,5/14/2014
"Atlanta, GA","Montgomery, AL",$9.00 ,MARTA Civic Center - 435 W Peachtree St NW,Parking Lot at SE Corner of Woodmere Blvd and Easter Blvd,1:45 PM,3:30 PM,2hrs 45mins,5/28/2014,5/14/2014
"Atlanta, GA","Montgomery, AL",$9.00 ,MARTA Civic Center - 435 W Peachtree St NW,Parking Lot at SE Corner of Woodmere Blvd and Easter Blvd,11:45 PM,1:30 AM,2hrs 45mins,5/28/2014,5/14/2014
"Atlanta, GA","Nashville, TN",$8.00 ,MARTA Civic Center - 435 W Peachtree St NW,704 4th Ave South,6:00 AM,9:50 AM,4hrs 50mins,5/28/2014,5/14/2014
"Atlanta, GA","Nashville, TN",$8.00 ,MARTA Civic Center - 435 W Peachtree St NW,704 4th Ave South,4:10 PM,8:00 PM,4hrs 50mins,5/28/2014,5/14/2014
"Atlanta, GA","New Orleans, LA",$26.00 ,MARTA Civic Center - 435 W Peachtree St NW,(Temporary Location) Elysian Fields Ave between St Claude Ave and N Rampart St,6:10 AM,1:55 PM,8hrs 45mins,5/28/2014,5/14/2014
"Atlanta, GA","New Orleans, LA",$25.00 ,MARTA Civic Center - 435 W Peachtree St NW,(Temporary Location) Elysian Fields Ave between St Claude Ave and N Rampart St,1:45 PM,9:30 PM,8hrs 45mins,5/28/2014,5/14/2014
"Atlanta, GA","New Orleans, LA",$25.00 ,MARTA Civic Center - 435 W Peachtree St NW,(Temporary Location) Elysian Fields Ave between St Claude Ave and N Rampart St,11:45 PM,7:30 AM,8hrs 45mins,5/28/2014,5/14/2014
"Atlanta, GA","New York, NY",$99.00 ,MARTA Civic Center - 435 W Peachtree St NW,7th Ave & 28th St.,6:45 AM,2:40 AM,19hrs 55mins,5/28/2014,5/14/2014
"Atlanta, GA","New York, NY",$99.00 ,MARTA Civic Center - 435 W Peachtree St NW,7th Ave & 28th St.,7:15 PM,2:40 PM,19hrs 25mins,5/28/2014,5/14/2014
"Atlanta, GA","Orlando, FL",$19.00 ,MARTA Civic Center - 435 W Peachtree St NW,101-199 N Gertrude Ave,7:00 AM,3:45 PM,8hrs 45mins,5/28/2014,5/14/2014
"Atlanta, GA","Orlando, FL",$18.00 ,MARTA Civic Center - 435 W Peachtree St NW,101-199 N Gertrude Ave,12:15 PM,9:00 PM,8hrs 45mins,5/28/2014,5/14/2014
"Atlanta, GA","Orlando, FL",$29.00 ,MARTA Civic Center - 435 W Peachtree St NW,101-199 N Gertrude Ave,4:30 PM,1:15 AM,8hrs 45mins,5/28/2014,5/14/2014
"Atlanta, GA","Orlando, FL",$21.00 ,MARTA Civic Center - 435 W Peachtree St NW,101-199 N Gertrude Ave,11:59 PM,8:35 AM,8hrs 36mins,5/28/2014,5/14/2014
"Atlanta, GA","Washington, DC",$46.00 ,MARTA Civic Center - 435 W Peachtree St NW,Union Station.,6:45 AM,7:30 PM,12hrs 45mins,5/28/2014,5/14/2014
"Atlanta, GA","Washington, DC",$46.00 ,MARTA Civic Center - 435 W Peachtree St NW,Union Station.,7:15 PM,8:00 AM,12hrs 45mins,5/28/2014,5/14/2014
"Austin, TX","Dallas/Fort Worth, TX",$10.00 ,Whitis Ave b/t W 20th St and W 21st St,"710 Davis St, Grand Prairie",7:20 AM,10:55 AM,3hrs 35mins,5/28/2014,5/14/2014
"Austin, TX","Dallas/Fort Worth, TX",$10.00 ,Whitis Ave b/t W 20th St and W 21st St,"DART East Transfer Center, 330 North Olive Street",7:20 AM,10:30 AM,3hrs 10mins,5/28/2014,5/14/2014
"Austin, TX","Dallas/Fort Worth, TX",$10.00 ,Whitis Ave b/t W 20th St and W 21st St,"710 Davis St, Grand Prairie",2:40 PM,6:25 PM,3hrs 45mins,5/28/2014,5/14/2014
"Austin, TX","Dallas/Fort Worth, TX",$10.00 ,Whitis Ave b/t W 20th St and W 21st St,"DART East Transfer Center, 330 North Olive Street",2:40 PM,6:00 PM,3hrs 20mins,5/28/2014,5/14/2014
"Austin, TX","Dallas/Fort Worth, TX",$5.00 ,Whitis Ave b/t W 20th St and W 21st St,"710 Davis St, Grand Prairie",10:05 PM,1:40 AM,3hrs 35mins,5/28/2014,5/14/2014
"Austin, TX","Dallas/Fort Worth, TX",$5.00 ,Whitis Ave b/t W 20th St and W 21st St,"DART East Transfer Center, 330 North Olive Street",10:05 PM,1:15 AM,3hrs 10mins,5/28/2014,5/14/2014
"Austin, TX","Houston, TX",$5.00 ,Whitis Ave b/t W 20th St and W 21st St,"Katy Mills Mall, Entrance 5",12:30 PM,3:20 PM,2hrs 50mins,5/28/2014,5/14/2014
"Austin, TX","Houston, TX",$5.00 ,Whitis Ave b/t W 20th St and W 21st St,815 Pierce St near Travis St,12:30 PM,3:45 PM,3hrs 15mins,5/28/2014,5/14/2014
"Austin, TX","Houston, TX",$5.00 ,Whitis Ave b/t W 20th St and W 21st St,815 Pierce St near Travis St,7:00 PM,10:30 PM,3hrs 30mins,5/28/2014,5/14/2014
"Austin, TX","Houston, TX",$5.00 ,Whitis Ave b/t W 20th St and W 21st St,Select Shell Station - 13250 FM 1960 W,7:00 PM,10:05 PM,3hrs 5mins,5/28/2014,5/14/2014
"Austin, TX","San Antonio, TX",$3.00 ,Whitis Ave b/t W 20th St and W 21st St,South corner of 4th St and Broadway St,9:40 AM,11:05 AM,1hrs 25mins,5/28/2014,5/14/2014
"Austin, TX","San Antonio, TX",$5.00 ,Whitis Ave b/t W 20th St and W 21st St,South corner of 4th St and Broadway St,4:55 PM,6:20 PM,1hrs 25mins,5/28/2014,5/14/2014
"Austin, TX","San Antonio, TX",$3.00 ,Whitis Ave b/t W 20th St and W 21st St,South corner of 4th St and Broadway St,11:55 PM,1:45 AM,1hrs 50mins,5/28/2014,5/14/2014
"Baltimore, MD","Boston, MA",$35.00 ,White Marsh Mall (Opp Red Lobster),South Station - Gate 13,10:10 AM,7:35 PM,9hrs 25mins,5/28/2014,5/14/2014
"Baltimore, MD","Boston, MA",$35.00 ,White Marsh Mall (Opp Red Lobster),South Station - Gate 13,8:10 PM,5:15 AM,9hrs 5mins,5/28/2014,5/14/2014
"Baltimore, MD","Buffalo, NY",$50.00 ,White Marsh Mall (Opp Red Lobster),Downtown Terminal,9:25 PM,7:20 AM,9hrs 55mins,5/28/2014,5/14/2014
"Baltimore, MD","Hampton, VA",$15.00 ,White Marsh Mall (Opp Red Lobster),Hampton Transit Center - 2 W Pembroke Ave,9:30 AM,3:00 PM,5hrs 30mins,5/28/2014,5/14/2014
"Baltimore, MD","Hampton, VA",$13.00 ,White Marsh Mall (Opp Red Lobster),Hampton Transit Center - 2 W Pembroke Ave,5:50 PM,11:50 PM,6hrs 0mins,5/28/2014,5/14/2014
"Baltimore, MD","New York, NY",$13.00 ,White Marsh MTA Park & Ride,7th Ave & 28th St.,1:20 AM,4:50 AM,3hrs 30mins,5/28/2014,5/14/2014
"Baltimore, MD","New York, NY",$15.00 ,White Marsh MTA Park & Ride,7th Ave & 28th St.,9:20 AM,12:40 PM,3hrs 20mins,5/28/2014,5/14/2014
"Baltimore, MD","New York, NY",$12.00 ,White Marsh MTA Park & Ride,7th Ave & 28th St.,11:20 AM,2:40 PM,3hrs 20mins,5/28/2014,5/14/2014
"Baltimore, MD","New York, NY",$12.00 ,White Marsh MTA Park & Ride,7th Ave & 28th St.,7:20 PM,10:40 PM,3hrs 20mins,5/28/2014,5/14/2014
"Baltimore, MD","New York, NY",$11.00 ,White Marsh MTA Park & Ride,7th Ave & 28th St.,9:20 PM,12:40 AM,3hrs 20mins,5/28/2014,5/14/2014
"Baltimore, MD","New York, NY",$10.00 ,White Marsh MTA Park & Ride,7th Ave & 28th St.,11:20 PM,2:40 AM,3hrs 20mins,5/28/2014,5/14/2014
"Baltimore, MD","Newark, DE",$15.00 ,White Marsh Mall (Opp Red Lobster),U of Delaware - Parking Lot #6 on Christiana Dr,7:15 AM,8:15 AM,1hrs 0mins,5/28/2014,5/14/2014
"Baltimore, MD","Newark, DE",$10.00 ,White Marsh Mall (Opp Red Lobster),U of Delaware - Parking Lot #6 on Christiana Dr,12:35 PM,1:45 PM,1hrs 10mins,5/28/2014,5/14/2014
"Baltimore, MD","Newark, DE",$14.00 ,White Marsh Mall (Opp Red Lobster),U of Delaware - Parking Lot #6 on Christiana Dr,8:45 PM,9:45 PM,1hrs 0mins,5/28/2014,5/14/2014
"Baltimore, MD","Newark, DE",$10.00 ,White Marsh Mall (Opp Red Lobster),U of Delaware - Parking Lot #6 on Christiana Dr,11:05 PM,12:05 AM,1hrs 0mins,5/28/2014,5/14/2014
"Baltimore, MD","Philadelphia, PA",$9.00 ,White Marsh MTA Park & Ride,30th St Station,1:20 AM,2:50 AM,1hrs 30mins,5/28/2014,5/14/2014
"Baltimore, MD","Philadelphia, PA",$14.00 ,White Marsh Mall (Opp Red Lobster),30th St Station,7:15 AM,9:30 AM,2hrs 15mins,5/28/2014,5/14/2014
"Baltimore, MD","Philadelphia, PA",$37.00 ,White Marsh Mall (Opp Red Lobster),30th St Station,10:10 AM,12:05 PM,1hrs 55mins,5/28/2014,5/14/2014
"Baltimore, MD","Philadelphia, PA",$9.00 ,White Marsh Mall (Opp Red Lobster),30th St Station,12:35 PM,3:05 PM,2hrs 30mins,5/28/2014,5/14/2014
"Baltimore, MD","Philadelphia, PA",$9.00 ,White Marsh Mall (Opp Red Lobster),30th St Station,5:35 PM,7:40 PM,2hrs 5mins,5/28/2014,5/14/2014
"Baltimore, MD","Philadelphia, PA",$37.00 ,White Marsh Mall (Opp Red Lobster),30th St Station,8:10 PM,10:00 PM,1hrs 50mins,5/28/2014,5/14/2014
"Baltimore, MD","Philadelphia, PA",$5.00 ,White Marsh Mall (Opp Red Lobster),30th St Station,8:45 PM,10:55 PM,2hrs 10mins,5/28/2014,5/14/2014
