fare,deplocation,arrlocation,deptime,arrcity,depcity,duration,arrtime
$9.00,Union Station.,White Marsh Mall (Opp Red Lobster),5:55 AM,"Baltimore, MD","Washington, DC",1hrs 20mins,7:15 AM
$20.00,Union Station.,White Marsh Mall (Opp Red Lobster),8:50 AM,"Baltimore, MD","Washington, DC",1hrs 20mins,10:10 AM
$15.00,Union Station.,White Marsh Mall (Opp Red Lobster),11:15 AM,"Baltimore, MD","Washington, DC",1hrs 20mins,12:35 PM
$15.00,Union Station.,White Marsh Mall (Opp Red Lobster),4:15 PM,"Baltimore, MD","Washington, DC",1hrs 20mins,5:35 PM
$20.00,Union Station.,White Marsh Mall (Opp Red Lobster),6:45 PM,"Baltimore, MD","Washington, DC",1hrs 25mins,8:10 PM
$15.00,Union Station.,White Marsh Mall (Opp Red Lobster),7:25 PM,"Baltimore, MD","Washington, DC",1hrs 20mins,8:45 PM
$25.00,Union Station.,White Marsh Mall (Opp Red Lobster),8:00 PM,"Baltimore, MD","Washington, DC",1hrs 25mins,9:25 PM
$15.00,Union Station.,White Marsh Mall (Opp Red Lobster),9:45 PM,"Baltimore, MD","Washington, DC",1hrs 20mins,11:05 PM
$9.00,Union Station.,White Marsh Mall (Opp Red Lobster),10:10 PM,"Baltimore, MD","Washington, DC",1hrs 10mins,11:20 PM
